sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_401308441CCS_F0041632CCAM03043P3.CSV,Kam,52.1,+/-,5,1.6,0.77,+/-,0.44,0.07,18.7,+/-,3.7,1.4,13.3,+/-,3.1,1.8,3.2,+/-,1.7,0.6,9,+/-,2.7,0.6,4.35,+/-,0.75,0.68,0.35,+/-,0.61,0.04,101.75,3.47127,100A/95A/95A,2.53E+14
CL5_401308557CCS_F0041632CCAM03043P3.CSV,Kam,52.7,+/-,5,0.5,0,+/-,0.2,0.1,27.7,+/-,4,0.5,0,+/-,1.6,0,0.3,+/-,1.4,0.1,11,+/-,3,0.1,6.77,+/-,1.11,0.17,1.32,+/-,1,0.07,99.82,3.47127,100A/95A/95A,1.46E+14
CL5_401308634CCS_F0041632CCAM03043P3.CSV,Kam,40.5,+/-,5.4,5,0.91,+/-,0.47,0.31,9.3,+/-,3.5,0.9,21.1,+/-,4.4,1,7.8,+/-,2.2,0.8,6.1,+/-,2,0.6,2.12,+/-,0.62,0.37,0.4,+/-,0.62,0.15,88.25,3.47127,100A/95A/95A,9.74E+13
CL5_401308712CCS_F0041632CCAM03043P3.CSV,Kam,55,+/-,5.1,0.4,0.92,+/-,0.48,0.02,21.3,+/-,3.7,0.5,10.2,+/-,2.7,0.8,0.8,+/-,1.5,0.1,7.7,+/-,2.4,0.1,6.96,+/-,1.13,0.1,1.37,+/-,1.02,0.09,104.26,3.47127,100A/95A/95A,2.77E+14
CL5_401484238CCS_F0042002CCAM01045P3.CSV,Jake,48.9,+/-,4.9,0.7,0.63,+/-,0.4,0.01,16.5,+/-,3.7,1.5,21.4,+/-,4.4,0.3,7.3,+/-,2.2,0.6,1.8,+/-,1,0.3,4.97,+/-,0.88,0.41,0.92,+/-,0.83,0.08,102.35,3.88307,100A/95A/95A,5.81E+14
CL5_401484309CCS_F0042002CCAM01045P3.CSV,Jake,36.5,+/-,6,0.7,4.4,+/-,1.93,0.49,7,+/-,3.3,0.3,30.9,+/-,5.1,0.9,3.2,+/-,1.7,0.1,5.3,+/-,1.8,0.6,2.2,+/-,0.62,0.11,0.38,+/-,0.62,0.04,89.82,3.88307,100A/95A/95A,2.11E+15
CL5_401484379CCS_F0042002CCAM01045P3.CSV,Jake,53,+/-,5.1,0.6,1,+/-,0.49,0.06,18.9,+/-,3.7,0.2,13.9,+/-,3.2,1.2,1.2,+/-,1.5,0.1,5.3,+/-,1.8,0.2,6.66,+/-,1.1,0.47,1.39,+/-,1.02,0.2,101.42,3.87303,100A/95A/95A,5.59E+14
CL5_401484552CCS_F0042002CCAM01045P3.CSV,Jake,51.9,+/-,5,0.9,0.84,+/-,0.46,0.02,16.5,+/-,3.7,0.5,17.1,+/-,3.7,0.7,5,+/-,1.9,0.5,5.3,+/-,1.8,0.7,4.13,+/-,0.71,0.3,1.11,+/-,0.91,0.1,101.93,3.87303,100A/95A/95A,5.69E+14
CL5_401484623CCS_F0042002CCAM01045P3.CSV,Jake,46.2,+/-,5,0.8,0.83,+/-,0.46,0.02,12.6,+/-,3.6,0.9,18.3,+/-,3.9,0.4,5.6,+/-,1.9,0.1,9.4,+/-,2.8,0.7,3.07,+/-,0.63,0.22,0.67,+/-,0.73,0.06,96.71,3.8759,100A/95A/95A,7.29E+14
CL5_401752504CCS_F0042106CCAM01048P3.CSV,Jake_1,50.3,+/-,5,0.7,0.84,+/-,0.46,0.04,17.2,+/-,3.7,0.3,14.1,+/-,3.3,0.6,2.8,+/-,1.6,0.2,8.7,+/-,2.7,0.7,5.64,+/-,0.99,0.23,1.21,+/-,0.96,0.2,100.81,3.19452,100A/95A/95A,6.05E+14
CL5_401752575CCS_F0042106CCAM01048P3.CSV,Jake_1,41,+/-,5.3,0.5,1.77,+/-,0.69,0.1,12.8,+/-,3.6,0.8,21.4,+/-,4.4,0.7,3,+/-,1.7,0.1,6.8,+/-,2.2,0.4,4.47,+/-,0.78,0.16,0.81,+/-,0.79,0.12,92.12,3.19452,100A/95A/95A,1.11E+15
CL5_401752644CCS_F0042106CCAM01048P3.CSV,Jake_1,51.1,+/-,5,0.7,0.95,+/-,0.48,0.14,16.9,+/-,3.7,0.5,17.6,+/-,3.8,1.2,2.9,+/-,1.6,0.8,5.9,+/-,2,1.4,4.95,+/-,0.88,0.38,1.49,+/-,1.06,0.16,101.79,3.19452,100A/95A/95A,6.60E+14
CL5_401752758CCS_F0042106CCAM01048P3.CSV,Jake_1,43.4,+/-,5.1,1.3,0.88,+/-,0.47,0.1,10.7,+/-,3.5,1,18.5,+/-,4,0.8,4.5,+/-,1.8,0.3,11.4,+/-,3.1,0.5,3.47,+/-,0.65,0.31,0.64,+/-,0.71,0.07,93.52,3.19452,100A/95A/95A,8.19E+14
CL5_401752827CCS_F0042106CCAM01048P3.CSV,Jake_1,55,+/-,5.1,0.3,0.81,+/-,0.45,0.01,18.1,+/-,3.7,0.6,10.4,+/-,2.7,0.9,1.3,+/-,1.5,0.2,4.4,+/-,1.5,0.9,7.53,+/-,1.19,0.66,2.59,+/-,1.18,0.16,100.02,3.20137,100A/95A/95A,5.18E+14
CL5_401752999CCS_F0042106CCAM01048P3.CSV,Jake_1,41.4,+/-,5.3,0.5,1.39,+/-,0.59,0.06,13.7,+/-,3.6,1,21.3,+/-,4.4,0.6,3.1,+/-,1.7,0.1,9,+/-,2.7,0.5,4.32,+/-,0.75,0.32,0.57,+/-,0.69,0.1,94.74,3.20137,100A/95A/95A,1.10E+15
CL5_401753117CCS_F0042106CCAM01048P3.CSV,Jake_1,46.8,+/-,5,0.7,1.3,+/-,0.56,0.07,16.9,+/-,3.7,0.5,18.8,+/-,4,0.4,2.5,+/-,1.6,0.3,6.8,+/-,2.2,0.4,4.98,+/-,0.89,0.16,1.42,+/-,1.03,0.12,99.45,3.20137,100A/95A/95A,7.78E+14
CL5_401753186CCS_F0042106CCAM01048P3.CSV,Jake_1,41,+/-,5.3,1,1.27,+/-,0.56,0.05,11.7,+/-,3.6,0.6,20.4,+/-,4.3,0.3,4.1,+/-,1.8,0.1,9.2,+/-,2.8,0.6,3.94,+/-,0.69,0.22,0.5,+/-,0.66,0.06,92.14,3.20137,100A/95A/95A,9.54E+14
CL5_401753255CCS_F0042106CCAM01048P3.CSV,Jake_1,44.6,+/-,5,0.6,0.72,+/-,0.43,0.01,9,+/-,3.5,2.6,16.7,+/-,3.7,0.4,5.3,+/-,1.9,0.4,15.8,+/-,3.5,1.4,2.74,+/-,0.61,0.65,0.49,+/-,0.66,0.18,95.44,3.21812,100A/95A/95A,4.62E+14
CL5_401839931CCS_F0042644CCAM02049P3.CSV,Anton,53.5,+/-,5.1,0.5,1.03,+/-,0.5,0.09,16,+/-,3.7,0.5,15.3,+/-,3.4,0.4,2.6,+/-,1.6,0.1,6.1,+/-,2,0.5,5,+/-,0.89,0.18,1.03,+/-,0.88,0.12,100.64,3.08508,100A/95A/95A,5.24E+14
CL5_401840001CCS_F0042644CCAM02049P3.CSV,Anton,49.7,+/-,5,0.4,0.72,+/-,0.43,0.04,14.8,+/-,3.6,1,13.2,+/-,3.1,0.3,10.5,+/-,2.7,0.6,6.3,+/-,2.1,0.3,2.97,+/-,0.62,0.12,0.59,+/-,0.69,0.03,98.87,3.08508,100A/95A/95A,5.40E+14
CL5_401840070CCS_F0042644CCAM02049P3.CSV,Anton,46.9,+/-,5,0.6,1.51,+/-,0.62,0.06,11.8,+/-,3.6,0.3,17.3,+/-,3.8,0.4,7.2,+/-,2.1,0.2,6.6,+/-,2.2,0.3,3.55,+/-,0.66,0.08,0.72,+/-,0.75,0.03,95.64,3.08508,100A/95A/95A,8.61E+14
CL5_401840139CCS_F0042644CCAM02049P3.CSV,Anton,48.2,+/-,4.9,1.2,0.87,+/-,0.47,0.1,13.8,+/-,3.6,1.9,16.6,+/-,3.6,1.7,8.3,+/-,2.3,0.9,8,+/-,2.5,0.5,2.4,+/-,0.61,0.28,0.32,+/-,0.6,0.08,98.55,3.08508,100A/95A/95A,2.79E+14
CL5_401840209CCS_F0042644CCAM02049P3.CSV,Anton,53.7,+/-,5.1,0.5,0.76,+/-,0.44,0.01,18.8,+/-,3.7,0.3,11.4,+/-,2.9,0.6,0.9,+/-,1.5,0.1,6.7,+/-,2.2,0.1,6.53,+/-,1.08,0.2,0.56,+/-,0.68,0.03,99.25,3.08508,100A/95A/95A,4.20E+14
CL5_401928245CCS_F0042778CCAM01050P3.CSV,Akaitcho,42.9,+/-,5.2,2.1,0.84,+/-,0.46,0.18,9.4,+/-,3.5,1.7,17.8,+/-,3.8,1.1,6.7,+/-,2.1,0.7,9.1,+/-,2.8,0.9,1.95,+/-,0.63,0.58,0.37,+/-,0.61,0.18,89,2.66078,100A/95A/95A,4.63E+14
CL5_401928321CCS_F0042778CCAM01050P3.CSV,Akaitcho,42.8,+/-,5.2,1.3,1.16,+/-,0.53,0.21,10.6,+/-,3.5,2.6,19.9,+/-,4.2,1.1,5.5,+/-,1.9,1.8,6.4,+/-,2.1,0.4,2.24,+/-,0.62,0.45,0.48,+/-,0.65,0.26,89.05,2.66078,100A/95A/95A,5.69E+14
CL5_401928397CCS_F0042778CCAM01050P3.CSV,Akaitcho,44.3,+/-,5.1,1.3,0.99,+/-,0.49,0.09,8.6,+/-,3.5,0.6,18.7,+/-,4,0.3,9.9,+/-,2.6,0.4,5.5,+/-,1.8,0.7,1.88,+/-,0.64,0.15,0.14,+/-,0.54,0.03,89.9,2.66078,100A/95A/95A,5.17E+14
CL5_401928508CCS_F0042778CCAM01050P3.CSV,Akaitcho,43.7,+/-,5.1,3.5,0.83,+/-,0.46,0.11,9.9,+/-,3.5,3.9,18.2,+/-,3.9,2.2,7.4,+/-,2.2,0.8,8.1,+/-,2.5,1.2,2.09,+/-,0.63,0.73,0.31,+/-,0.59,0.08,90.44,2.66078,100A/95A/95A,4.68E+14
CL5_401928583CCS_F0042778CCAM01050P3.CSV,Akaitcho,45.3,+/-,5,4.1,0.96,+/-,0.49,0.23,10.1,+/-,3.5,1.2,19.9,+/-,4.2,0.9,6.3,+/-,2,1,7,+/-,2.3,0.9,2.5,+/-,0.61,0.47,0.4,+/-,0.62,0.12,92.37,2.66828,100A/95A/95A,4.39E+14
CL5_401928761CCS_F0042778CCAM01050P3.CSV,Akaitcho,42.9,+/-,5.2,1.3,1.2,+/-,0.54,0.21,9.2,+/-,3.5,0.9,20.2,+/-,4.3,0.7,4.9,+/-,1.8,1.5,7.8,+/-,2.5,0.9,2.28,+/-,0.62,0.26,0.23,+/-,0.57,0.07,88.73,2.66828,100A/95A/95A,6.86E+14
CL5_401928872CCS_F0042778CCAM01050P3.CSV,Akaitcho,48.6,+/-,4.9,3.5,1.12,+/-,0.52,0.12,12.3,+/-,3.6,2.2,17.4,+/-,3.8,1.2,5.5,+/-,1.9,0.9,5.3,+/-,1.8,0.8,2.87,+/-,0.62,0.57,1.28,+/-,0.98,0.57,94.41,2.66828,100A/95A/95A,5.92E+14
CL5_401928948CCS_F0042778CCAM01050P3.CSV,Akaitcho,40.5,+/-,5.4,1.6,1.05,+/-,0.5,0.15,7.8,+/-,3.4,0.9,20.8,+/-,4.3,1.1,5.9,+/-,2,1.7,5.8,+/-,1.9,1.1,2.17,+/-,0.62,0.23,0.48,+/-,0.65,0.18,84.5,2.66828,100A/95A/95A,8.36E+14
CL5_401929025CCS_F0042778CCAM01050P3.CSV,Akaitcho,49.3,+/-,5,1.1,1.14,+/-,0.52,0.08,12.1,+/-,3.6,0.9,17.2,+/-,3.7,0.5,6.1,+/-,2,0.2,6.2,+/-,2,0.4,3.47,+/-,0.65,0.32,0.59,+/-,0.69,0.08,96.19,2.6601,100A/95A/95A,5.96E+14
CL5_402372930CCS_F0043232CCAM01055P3.CSV,Bathurst,41.2,+/-,5.3,1,1.18,+/-,0.53,0.11,7.1,+/-,3.3,0.3,20.1,+/-,4.2,0.2,10.2,+/-,2.6,0.5,5.5,+/-,1.8,0.7,1.85,+/-,0.64,0.09,1.86,+/-,1.15,0.14,89.08,2.52397,100A/95A/95A,1.24E+15
CL5_402373071CCS_F0043232CCAM01055P3.CSV,Bathurst,42.8,+/-,5.2,0.8,1.31,+/-,0.57,0.14,7.3,+/-,3.3,0.3,20,+/-,4.2,0.2,11.7,+/-,2.9,0.8,3.9,+/-,1.4,0.6,2.13,+/-,0.62,0.1,1.98,+/-,1.16,0.16,91.09,2.52397,100A/95A/95A,1.20E+15
CL5_402549621CCS_F0043474CCAM01057P3.CSV,Rocknest3,43.9,+/-,5.1,1,2.09,+/-,0.78,0.19,9.2,+/-,3.5,0.3,27.1,+/-,4.8,1.3,4,+/-,1.7,0.1,2.5,+/-,1.1,0.3,3.31,+/-,0.64,0.13,0.95,+/-,0.85,0.11,93.06,3.71382,100A/95A/95A,1.70E+15
CL5_402549698CCS_F0043474CCAM01057P3.CSV,Rocknest3,43.3,+/-,5.1,0.5,2.13,+/-,0.79,0.09,8.7,+/-,3.5,0.2,26.8,+/-,4.8,0.6,4,+/-,1.7,0.1,2.7,+/-,1.1,0.2,3.54,+/-,0.65,0.11,1.19,+/-,0.95,0.08,92.34,3.71382,100A/95A/95A,1.23E+15
CL5_402549774CCS_F0043474CCAM01057P3.CSV,Rocknest3,47.8,+/-,4.9,1.2,1.67,+/-,0.66,0.12,12.5,+/-,3.6,1.6,19.7,+/-,4.2,0.4,3.4,+/-,1.7,0.4,6.4,+/-,2.1,1.1,3.72,+/-,0.67,0.32,1.38,+/-,1.02,0.13,96.72,3.71382,100A/95A/95A,1.10E+15
CL5_402549850CCS_F0043474CCAM01057P3.CSV,Rocknest3,44.8,+/-,5,1.5,2.04,+/-,0.76,0.18,9.7,+/-,3.5,0.8,21.6,+/-,4.4,0.8,3.9,+/-,1.7,0.2,7.2,+/-,2.3,1,3.14,+/-,0.63,0.28,1.06,+/-,0.89,0.18,93.44,3.71382,100A/95A/95A,1.26E+15
CL5_402549926CCS_F0043474CCAM01057P3.CSV,Rocknest3,46.8,+/-,5,0.9,2.42,+/-,0.9,0.16,11.3,+/-,3.5,0.6,22.2,+/-,4.5,1,3.5,+/-,1.7,0.2,3.5,+/-,1.3,0.5,3.36,+/-,0.64,0.22,1.11,+/-,0.91,0.21,94.13,3.71382,100A/95A/95A,1.38E+15
CL5_402727523CCS_F0050000CCAM01059P3.CSV,Rocknest7,47.7,+/-,4.9,4.2,0.91,+/-,0.47,0.15,9.3,+/-,3.5,1.4,18.8,+/-,4,1.7,5.6,+/-,1.9,1.7,6.2,+/-,2.1,0.8,2.82,+/-,0.61,0.9,0.78,+/-,0.77,0.38,92.18,2.30808,100A/60A/60A,3.89E+14
CL5_402727597CCS_F0050000CCAM01059P3.CSV,Rocknest7,47.2,+/-,5,2.4,0.71,+/-,0.42,0.08,7.7,+/-,3.4,0.5,19.4,+/-,4.1,1.2,12.8,+/-,3,1.3,6.2,+/-,2,0.9,1.82,+/-,0.64,0.29,0.17,+/-,0.55,0.06,95.83,2.30808,100A/60A/60A,2.05E+14
CL5_402727667CCS_F0050000CCAM01059P3.CSV,Rocknest7,46,+/-,5,1.2,0.74,+/-,0.43,0.02,9.6,+/-,3.5,0.6,16.7,+/-,3.7,0.8,12.1,+/-,2.9,0.4,5.9,+/-,1.9,0.2,2.59,+/-,0.61,0.18,0.38,+/-,0.62,0.05,93.91,2.30808,100A/60A/60A,3.95E+14
CL5_402727737CCS_F0050000CCAM01059P3.CSV,Rocknest7,47,+/-,5,3.3,0.96,+/-,0.49,0.09,9.6,+/-,3.5,1.4,19.1,+/-,4.1,1.2,7.4,+/-,2.2,0.6,5.8,+/-,1.9,0.8,2.09,+/-,0.63,0.34,0.31,+/-,0.59,0.09,92.32,2.30808,100A/60A/60A,2.56E+14
CL5_402727807CCS_F0050000CCAM01059P3.CSV,Rocknest7,48,+/-,4.9,0.4,0.99,+/-,0.49,0.02,11.5,+/-,3.5,0.6,19.8,+/-,4.2,0.3,4.7,+/-,1.8,0.5,6.2,+/-,2,0.4,3.81,+/-,0.68,0.16,0.36,+/-,0.61,0.03,95.3,2.30808,100A/60A/60A,3.78E+14
CL5_402894305CCS_F0050104CCAM01060P3.CSV,Pearson,42.6,+/-,5.2,1.1,1.95,+/-,0.74,0.12,7.6,+/-,3.4,0.2,31.8,+/-,5.2,1.3,3.3,+/-,1.7,0.1,1.8,+/-,1,0.2,3.24,+/-,0.64,0.13,1.28,+/-,0.98,0.08,93.55,3.62639,100A/95A/95A,1.03E+15
CL5_402894375CCS_F0050104CCAM01060P3.CSV,Pearson,42.6,+/-,5.2,1,2.17,+/-,0.8,0.09,6.5,+/-,3.2,0.3,29.2,+/-,5,0.7,3.1,+/-,1.7,0.1,2,+/-,1,0.3,2.87,+/-,0.62,0.12,1,+/-,0.87,0.11,89.53,3.62639,100A/95A/95A,1.33E+15
CL5_402894445CCS_F0050104CCAM01060P3.CSV,Pearson,41.9,+/-,5.3,0.7,1.18,+/-,0.53,0.11,5.8,+/-,3.2,0.2,23.1,+/-,4.5,1,4,+/-,1.7,0.2,9.6,+/-,2.8,0.7,2.3,+/-,0.61,0.14,0.82,+/-,0.79,0.07,88.7,3.62639,100A/95A/95A,9.08E+14
CL5_402894557CCS_F0050104CCAM01060P3.CSV,Pearson,27.3,+/-,7.1,1.9,1.06,+/-,0.51,0.07,6.4,+/-,3.2,0.4,31.7,+/-,5.2,1,2,+/-,1.6,0.3,15,+/-,3.4,1.3,1.78,+/-,0.64,0.12,0.72,+/-,0.75,0.1,85.95,3.62639,100A/95A/95A,1.12E+15
CL5_402894627CCS_F0050104CCAM01060P3.CSV,Pearson,38.5,+/-,5.7,0.9,2.42,+/-,0.9,0.13,7.2,+/-,3.3,0.3,34.1,+/-,5.3,1,2.6,+/-,1.6,0.1,1.7,+/-,1,0.2,2.83,+/-,0.62,0.12,0.73,+/-,0.75,0.1,90.11,3.64025,100A/95A/95A,1.28E+15
CL5_402894802CCS_F0050104CCAM01060P3.CSV,Pearson,42.7,+/-,5.2,0.6,1.61,+/-,0.65,0.1,5.8,+/-,3.2,0.6,27.8,+/-,4.9,0.9,5,+/-,1.9,0.2,3.3,+/-,1.3,0.4,2.6,+/-,0.61,0.11,0.61,+/-,0.7,0.08,89.5,3.64025,100A/95A/95A,1.27E+15
CL5_402894916CCS_F0050104CCAM01060P3.CSV,Pearson,41.4,+/-,5.3,1.3,1.87,+/-,0.72,0.25,7,+/-,3.3,0.2,30.8,+/-,5.1,1.3,2.8,+/-,1.6,0.1,3.1,+/-,1.2,0.7,2.97,+/-,0.62,0.12,1.09,+/-,0.91,0.06,91.16,3.64025,100A/95A/95A,1.10E+15
CL5_402894987CCS_F0050104CCAM01060P3.CSV,Pearson,30,+/-,6.9,1.3,1.13,+/-,0.52,0.03,7.6,+/-,3.4,0.3,27.9,+/-,4.9,0.9,1.9,+/-,1.6,0,16,+/-,3.5,0.9,2.2,+/-,0.62,0.15,0.78,+/-,0.77,0.08,87.65,3.64025,100A/95A/95A,9.45E+14
CL5_402895057CCS_F0050104CCAM01060P3.CSV,Pearson,38.3,+/-,5.7,1.1,1.83,+/-,0.71,0.11,8,+/-,3.4,0.2,27.7,+/-,4.9,0.9,3.4,+/-,1.7,0.1,6,+/-,2,0.4,3.13,+/-,0.63,0.14,0.8,+/-,0.78,0.07,89.16,3.64025,100A/95A/95A,8.41E+14
CL5_403364371CCS_F0050104CCAM01066P3.CSV,NAu-2_Hi-S,40.1,+/-,5.5,0.9,0.66,+/-,0.41,0.04,6,+/-,3.2,0.1,20.1,+/-,4.2,1.2,1.8,+/-,1.5,0.1,10.2,+/-,2.9,0.4,0.97,+/-,0.55,0.01,0.1,+/-,0.53,0,79.87,1.59377,100A/60A/60A,3.44E+14
CL5_403364488CCS_F0050104CCAM01066P3.CSV,NAu-2_Med-S,42.1,+/-,5.2,0.4,0.66,+/-,0.41,0.01,6.4,+/-,3.2,0.1,16.6,+/-,3.7,0.5,2.3,+/-,1.6,0.2,12.1,+/-,3.2,0.7,1.11,+/-,0.59,0.05,0.16,+/-,0.55,0.01,81.41,1.58982,100A/60A/60A,3.64E+14
CL5_403364605CCS_F0050104CCAM01066P3.CSV,NAu-2_Low-S,45.3,+/-,5,1.5,0.71,+/-,0.42,0.01,7.8,+/-,3.4,0.1,16.8,+/-,3.7,0.4,2.8,+/-,1.6,0.1,9.4,+/-,2.8,0.5,1.43,+/-,0.64,0.06,0.28,+/-,0.58,0.01,84.5,1.58982,100A/60A/60A,3.46E+14
CL5_403364722CCS_F0050104CCAM01066P3.CSV,Kga-d_Med-S,41.5,+/-,5.3,0.3,1.29,+/-,0.56,0.13,20.4,+/-,3.7,0.4,8.4,+/-,2.4,0.5,3.4,+/-,1.7,0.2,15.3,+/-,3.4,0.5,1.04,+/-,0.57,0.04,0.21,+/-,0.56,0.01,91.56,1.58786,100A/60A/60A,2.67E+14
CL5_403515721CCS_F0050104CCAM02067P3.CSV,Pearson_1,37.3,+/-,5.8,2,2.39,+/-,0.89,0.09,7.1,+/-,3.3,0.3,29.6,+/-,5,1.1,3.7,+/-,1.7,0.1,1.8,+/-,1,0.3,2.81,+/-,0.61,0.11,1.08,+/-,0.9,0.07,85.73,3.69287,100A/95A/95A,8.61E+14
CL5_403515792CCS_F0050104CCAM02067P3.CSV,Pearson_1,39,+/-,5.6,0.6,2.93,+/-,1.15,0.1,6.7,+/-,3.3,0.3,33.2,+/-,5.3,1,2.5,+/-,1.6,0.1,1.9,+/-,1,0.3,2.6,+/-,0.61,0.08,0.86,+/-,0.81,0.05,89.65,3.69287,100A/95A/95A,1.49E+15
CL5_403515862CCS_F0050104CCAM02067P3.CSV,Pearson_1,38.7,+/-,5.6,1,2.72,+/-,1.04,0.12,7.5,+/-,3.4,0.3,31.5,+/-,5.2,1.5,2.2,+/-,1.6,0.1,1.8,+/-,1,0.2,2.98,+/-,0.62,0.12,1.17,+/-,0.94,0.11,88.49,3.69287,100A/95A/95A,1.42E+15
CL5_403515984CCS_F0050104CCAM02067P3.CSV,Pearson_1,47.4,+/-,4.9,1.5,1.42,+/-,0.59,0.19,9,+/-,3.5,0.7,23.4,+/-,4.6,1.8,4.4,+/-,1.8,0.3,3,+/-,1.2,0.5,3.52,+/-,0.65,0.4,1.19,+/-,0.95,0.16,93.34,3.69287,100A/95A/95A,8.02E+14
CL5_403516054CCS_F0050104CCAM02067P3.CSV,Pearson_1,39.6,+/-,5.5,0.8,1.84,+/-,0.71,0.09,6.3,+/-,3.2,0.3,31.8,+/-,5.2,0.8,2.9,+/-,1.6,0,3.7,+/-,1.4,0.3,2.64,+/-,0.61,0.14,0.81,+/-,0.79,0.07,89.58,3.7007,100A/95A/95A,9.64E+14
CL5_403516230CCS_F0050104CCAM02067P3.CSV,Pearson_1,44.7,+/-,5,2.2,2.45,+/-,0.91,0.2,7.2,+/-,3.3,0.3,31.3,+/-,5.1,1.4,3.2,+/-,1.7,0.1,0.5,+/-,0.8,0.2,2.62,+/-,0.61,0.19,0.86,+/-,0.81,0.06,92.88,3.7007,100A/95A/95A,1.21E+15
CL5_403516351CCS_F0050104CCAM02067P3.CSV,Pearson_1,43.6,+/-,5.1,0.7,1.77,+/-,0.69,0.12,9.1,+/-,3.5,0.4,26.2,+/-,4.8,1.2,3.9,+/-,1.7,0.2,4.5,+/-,1.5,0.4,2.82,+/-,0.61,0.11,0.76,+/-,0.76,0.07,92.65,3.7007,100A/95A/95A,8.26E+14
CL5_403516421CCS_F0050104CCAM02067P3.CSV,Pearson_1,43.3,+/-,5.1,1.2,1.92,+/-,0.73,0.1,8.1,+/-,3.4,0.3,30.1,+/-,5.1,1.3,3.2,+/-,1.7,0.1,2.4,+/-,1.1,0.6,3,+/-,0.62,0.14,0.97,+/-,0.85,0.09,92.99,3.7007,100A/95A/95A,1.10E+15
CL5_403516491CCS_F0050104CCAM02067P3.CSV,Pearson_1,39.2,+/-,5.6,0.8,1.7,+/-,0.67,0.11,7.8,+/-,3.4,0.2,33.2,+/-,5.3,1.9,3.3,+/-,1.7,0.3,4.1,+/-,1.4,0.7,2.78,+/-,0.61,0.11,0.73,+/-,0.75,0.15,92.83,3.72042,100A/95A/95A,1.02E+15
CL5_403692349CCS_F0050104CCAM01069P3.CSV,Snare,46.2,+/-,5,1.4,1.2,+/-,0.54,0.03,8.5,+/-,3.4,0.4,22.9,+/-,4.5,1.4,4.1,+/-,1.8,0.3,2.2,+/-,1,0.6,3.22,+/-,0.63,0.19,1.1,+/-,0.91,0.14,89.41,2.87912,100A/95A/95A,1.21E+15
CL5_403692423CCS_F0050104CCAM01069P3.CSV,Snare,46.1,+/-,5,1.5,1.32,+/-,0.57,0.07,9,+/-,3.5,0.6,22.5,+/-,4.5,1.2,3.3,+/-,1.7,0.2,3.4,+/-,1.3,0.7,3.15,+/-,0.63,0.22,1.15,+/-,0.93,0.18,90.06,2.87912,100A/95A/95A,1.27E+15
CL5_403692491CCS_F0050104CCAM01069P3.CSV,Snare,42.4,+/-,5.2,1.6,1.62,+/-,0.65,0.1,8.2,+/-,3.4,0.4,25.7,+/-,4.7,1.4,2.7,+/-,1.6,0.1,4.7,+/-,1.6,0.5,2.98,+/-,0.62,0.28,1.04,+/-,0.88,0.24,89.3,2.87912,100A/95A/95A,1.27E+15
CL5_403692559CCS_F0050104CCAM01069P3.CSV,Snare,44.5,+/-,5,1.2,1.57,+/-,0.64,0.09,7.6,+/-,3.4,0.4,23.3,+/-,4.6,1.3,3.5,+/-,1.7,0.3,2.4,+/-,1.1,0.7,3.06,+/-,0.63,0.12,1.05,+/-,0.89,0.1,86.95,2.87912,100A/95A/95A,1.15E+15
CL5_403692627CCS_F0050104CCAM01069P3.CSV,Snare,41.5,+/-,5.3,0.8,2.07,+/-,0.77,0.08,8.9,+/-,3.5,0.3,25.8,+/-,4.7,0.9,2.5,+/-,1.6,0.2,3.8,+/-,1.4,0.8,3.14,+/-,0.63,0.28,0.99,+/-,0.86,0.21,88.7,2.87912,100A/95A/95A,1.37E+15
CL5_403792121CCS_F0050104CCAM01071P3.CSV,Rocknest6,38.3,+/-,5.7,1.1,1.4,+/-,0.59,0.07,8.5,+/-,3.4,0.2,30.5,+/-,5.1,1.4,3.9,+/-,1.7,0.1,6,+/-,2,0.4,2.71,+/-,0.61,0.11,0.63,+/-,0.71,0.04,91.89,2.62522,100A/95A/95A,5.49E+14
CL5_403792191CCS_F0050104CCAM01071P3.CSV,Rocknest6,35.5,+/-,6.1,1,1.57,+/-,0.64,0.04,8.6,+/-,3.5,0.2,34.4,+/-,5.4,0.9,3.3,+/-,1.7,0.1,4.5,+/-,1.6,0.3,2.84,+/-,0.62,0.09,0.78,+/-,0.77,0.05,91.53,2.62522,100A/95A/95A,6.79E+14
CL5_403792259CCS_F0050104CCAM01071P3.CSV,Rocknest6,36.6,+/-,6,1.1,1.29,+/-,0.56,0.04,9.4,+/-,3.5,0.3,34.5,+/-,5.4,1,3.3,+/-,1.7,0.1,3.4,+/-,1.3,0.4,3.02,+/-,0.62,0.09,0.79,+/-,0.78,0.06,92.26,2.62522,100A/95A/95A,4.02E+14
CL5_403792376CCS_F0050104CCAM01071P3.CSV,Rocknest6,40.6,+/-,5.4,0.6,1.2,+/-,0.54,0.03,9.9,+/-,3.5,0.4,26.1,+/-,4.8,0.9,3.5,+/-,1.7,0.1,6,+/-,2,0.4,3.18,+/-,0.63,0.09,0.91,+/-,0.83,0.06,91.38,2.62522,100A/95A/95A,1.01E+15
