sPDL Tool v2.0 (Last edited 25 July 2015),Testset Quartiles,SiO2, , , ,TiO2, , , ,Al2O3, , , ,FeOT, , , ,MgO, , , ,CaO, , , ,Na2O, , , ,K2O, , , ,,,,
CL5_399179658CCS_F0030078CCAM02019P3.CSV,Goulburn_7,53.1,+/-,5.1,1.1,0.86,+/-,0.46,0.16,22.6,+/-,3.8,1,4.5,+/-,1.9,1.3,1.6,+/-,1.5,0.3,6.9,+/-,2.2,0.9,5.35,+/-,0.95,0.16,2.03,+/-,1.17,0.39,96.95,5.02842,100A/95A/95A,1.22E+14
CL5_399179780CCS_F0030078CCAM02019P3.CSV,Goulburn_7,47.7,+/-,4.9,1.3,0.74,+/-,0.43,0.02,26.9,+/-,4,1.3,2.2,+/-,1.7,2,0.8,+/-,1.5,0.4,10.3,+/-,2.9,0.3,6.34,+/-,1.06,0.16,1.22,+/-,0.96,0.14,96.13,5.02842,100A/95A/95A,9.23E+13
CL5_399180289CCS_F0030078CCAM15305P3.CSV,Peacock_Hills,45.4,+/-,5,1.5,1.33,+/-,0.57,0.09,19.9,+/-,3.7,1.2,21.1,+/-,4.4,2.1,1.8,+/-,1.5,0.6,6.7,+/-,2.2,0.5,4.9,+/-,0.87,0.48,0.74,+/-,0.76,0.11,101.79,5.28875,100A/95A/95A,2.25E+14
CL5_399180779CCS_F0030078CCAM03019P3.CSV,Beechey,47.2,+/-,5,1.8,1,+/-,0.49,0.09,12.6,+/-,3.6,1.4,19.1,+/-,4.1,0.7,5.6,+/-,1.9,0.2,7.2,+/-,2.3,0.3,3.45,+/-,0.65,0.37,0.53,+/-,0.67,0.07,96.67,3.5574,100A/95A/95A,4.69E+14
CL5_399180841CCS_F0030078CCAM03019P3.CSV,Beechey,51.2,+/-,5,0.8,0.73,+/-,0.43,0.01,20,+/-,3.7,0.4,11.4,+/-,2.9,0.7,1,+/-,1.5,0.1,9.1,+/-,2.7,0.2,5.53,+/-,0.97,0.11,0.44,+/-,0.64,0.05,99.44,3.5574,100A/95A/95A,2.70E+14
CL5_399180903CCS_F0030078CCAM03019P3.CSV,Beechey,46.9,+/-,5,3.5,0.71,+/-,0.42,0.12,14.8,+/-,3.6,1.5,15.1,+/-,3.4,2.7,5.4,+/-,1.9,2,8.1,+/-,2.5,0.5,3.53,+/-,0.65,0.63,0.45,+/-,0.64,0.08,95.01,3.5574,100A/95A/95A,7.95E+13
CL5_399180965CCS_F0030078CCAM03019P3.CSV,Beechey,49.7,+/-,5,2.1,0.69,+/-,0.42,0.08,18.4,+/-,3.7,2.7,14.3,+/-,3.3,1.8,5.3,+/-,1.9,1,9.5,+/-,2.8,0.9,4.27,+/-,0.74,0.68,0.61,+/-,0.7,0.13,102.73,3.5574,100A/95A/95A,1.67E+14
CL5_399181027CCS_F0030078CCAM03019P3.CSV,Beechey,56.2,+/-,5.2,1,0.74,+/-,0.43,0.03,16.4,+/-,3.7,0.7,14.2,+/-,3.3,1.5,2.8,+/-,1.6,0.6,6.7,+/-,2.2,0.9,5.38,+/-,0.96,0.36,1.26,+/-,0.97,0.13,103.7,3.5574,100A/95A/95A,2.44E+14
CL5_399181483CCS_F0030078CCAM04019P3.CSV,Goulburn_8,54,+/-,5.1,1.9,1.92,+/-,0.73,2.06,21.1,+/-,3.7,1.1,7.8,+/-,2.4,1.2,3.2,+/-,1.7,0.3,8.2,+/-,2.6,2.2,2.69,+/-,0.61,0.33,0.28,+/-,0.58,0.06,99.18,4.95266,100A/95A/95A,3.30E+14
CL5_399444150CCS_F0030100CCAM01022P3.CSV,Thor_Lake,46.4,+/-,5,1.3,0.7,+/-,0.42,0.02,6.6,+/-,3.3,0.2,18.7,+/-,4,0.3,6.2,+/-,2,0.2,15.2,+/-,3.4,0.5,2.16,+/-,0.62,0.1,0.39,+/-,0.62,0.04,96.44,5.31814,100A/95A/95A,5.12E+14
